"Proveedor solicitado","Proveedor en Cerebrus","Factura","Monto","Total proveedor","Estado"
"Agrolmue","AGROLMUE SA","31810","$185.283","$750.890","activa"
"Agrolmue","AGROLMUE SA","31874","$190.162","","activa"
"Agrolmue","AGROLMUE SA","31928","$95.081","","activa"
"Agrolmue","AGROLMUE SA","32033","$280.364","","activa"
"Saavedra","CARLOS SAAVEDRA","6214","$207.780","$1.849.525","activa"
"Saavedra","CARLOS SAAVEDRA","6223","$395.099","","activa"
"Saavedra","CARLOS SAAVEDRA","6228","$377.102","","activa"
"Saavedra","CARLOS SAAVEDRA","6245","$192.294","","activa"
"Saavedra","CARLOS SAAVEDRA","6246","$192.294","","activa"
"Saavedra","CARLOS SAAVEDRA","6255","$207.780","","activa"
"Saavedra","CARLOS SAAVEDRA","6266","$277.176","","activa"
"Agromar","AGROMAR","23660","$1.586.151","$15.327.810","activa"
"Agromar","AGROMAR","23662","$33.320","","activa"
"Agromar","AGROMAR","23716","$534.120","","activa"
"Agromar","AGROMAR","23738","$794.682","","activa"
"Agromar","AGROMAR","23742","$396.568","","activa"
"Agromar","AGROMAR","23756","$147.560","","activa"
"Agromar","AGROMAR","23770","$1.094.562","","activa"
"Agromar","AGROMAR","23785","$260.967","","activa"
"Agromar","AGROMAR","23812","$472.882","","activa"
"Agromar","AGROMAR","23841","$781.533","","activa"
"Agromar","AGROMAR","23861","$286.493","","activa"
"Agromar","AGROMAR","23886","$417.690","","activa"
"Agromar","AGROMAR","23902","$163.268","","activa"
"Agromar","AGROMAR","23914","$457.198","","activa"
"Agromar","AGROMAR","23920","$214.200","","activa"
"Agromar","AGROMAR","23954","$116.620","","activa"
"Agromar","AGROMAR","23959","$159.936","","activa"
"Agromar","AGROMAR","23989","$872.032","","activa"
"Agromar","AGROMAR","23994","$793.254","","activa"
"Agromar","AGROMAR","24003","$185.402","","activa"
"Agromar","AGROMAR","24032","$190.460","","activa"
"Agromar","AGROMAR","24058","$1.228.318","","activa"
"Agromar","AGROMAR","24088","$799.799","","activa"
"Agromar","AGROMAR","24121","$33.320","","activa"
"Agromar","AGROMAR","24132","$14.280","","activa"
"Agromar","AGROMAR","24135","$116.025","","activa"
"Agromar","AGROMAR","24158","$1.183.336","","activa"
"Agromar","AGROMAR","24195","$1.227.533","","activa"
"Agromar","AGROMAR","24209","$766.301","","activa"
"Mar Azul","MAR AZUL","53991","$919.584","$8.339.869","activa"
"Mar Azul","MAR AZUL","54085","$859.870","","activa"
"Mar Azul","MAR AZUL","54092","$22.253","","activa"
"Mar Azul","MAR AZUL","54138","$44.506","","activa"
"Mar Azul","MAR AZUL","54150","$1.183.819","","activa"
"Mar Azul","MAR AZUL","54225","$594.635","","activa"
"Mar Azul","MAR AZUL","54234","$22.979","","activa"
"Mar Azul","MAR AZUL","54249","$22.253","","activa"
"Mar Azul","MAR AZUL","54282","$616.134","","activa"
"Mar Azul","MAR AZUL","54345","$418.804","","activa"
"Mar Azul","MAR AZUL","54402","$203.442","","activa"
"Mar Azul","MAR AZUL","54474","$667.174","","activa"
"Mar Azul","MAR AZUL","54490","$191.947","","activa"
"Mar Azul","MAR AZUL","54526","$347.373","","activa"
"Mar Azul","MAR AZUL","54578","$131.912","","activa"
"Mar Azul","MAR AZUL","54622","$73.673","","activa"
"Mar Azul","MAR AZUL","54679","$185.521","","activa"
"Mar Azul","MAR AZUL","54686","$91.916","","activa"
"Mar Azul","MAR AZUL","54734","$892.242","","activa"
"Mar Azul","MAR AZUL","54739","$183.831","","activa"
"Mar Azul","MAR AZUL","54849","$666.001","","activa"
"Juan Ardiles","JUAN ARDILES","21630","$381.426","$2.489.127","activa"
"Juan Ardiles","JUAN ARDILES","21631","$389.765","","activa"
"Juan Ardiles","JUAN ARDILES","21683","$533.500","","activa"
"Juan Ardiles","JUAN ARDILES","21801","$398.844","","activa"
"Juan Ardiles","JUAN ARDILES","21897","$385.562","","activa"
"Juan Ardiles","JUAN ARDILES","21992","$0","","activa"
"Juan Ardiles","JUAN ARDILES","22184","$400.030","","activa"
"Distribuidora Torres","TORRES + DISTRIBUIDORA TORRES CHILE","39660","$320.396","$977.644","activa"
"Distribuidora Torres","TORRES + DISTRIBUIDORA TORRES CHILE","39707","$201.074","","activa"
"Distribuidora Torres","TORRES + DISTRIBUIDORA TORRES CHILE","39753","$131.840","","activa"
"Distribuidora Torres","TORRES + DISTRIBUIDORA TORRES CHILE","39795","$153.861","","activa"
"Distribuidora Torres","TORRES + DISTRIBUIDORA TORRES CHILE","39832","$115.971","","activa"
"Distribuidora Torres","TORRES + DISTRIBUIDORA TORRES CHILE","39859","$54.502","","activa"
"La Vinoteca","VINOTECA + LA VINOTECA SPA","702056","$1.366.707","$4.901.917","activa"
"La Vinoteca","VINOTECA + LA VINOTECA SPA","702826","$619.625","","activa"
"La Vinoteca","VINOTECA + LA VINOTECA SPA","702861","$178.898","","activa"
"La Vinoteca","VINOTECA + LA VINOTECA SPA","703650","$952.627","","activa"
"La Vinoteca","VINOTECA + LA VINOTECA SPA","704613","$505.763","","activa"
"La Vinoteca","VINOTECA + LA VINOTECA SPA","705461","$568.577","","activa"
"La Vinoteca","VINOTECA + LA VINOTECA SPA","705509","$50.772","","activa"
"La Vinoteca","VINOTECA + LA VINOTECA SPA","706438","$582.377","","activa"
"La Vinoteca","VINOTECA + LA VINOTECA SPA","706768","$76.571","","activa"
"EBISU","EBISU","2549","$1.118.124","$4.486.066","activa"
"EBISU","EBISU","2563","$773.887","","activa"
"EBISU","EBISU","2571","$1.148.772","","activa"
"EBISU","EBISU","2578","$652.239","","activa"
"EBISU","EBISU","2586","$793.044","","activa"
"Premium Brands","PREMIUM BRANDS","384060","$669.744","$2.599.379","activa"
"Premium Brands","PREMIUM BRANDS","384471","$304.024","","activa"
"Premium Brands","PREMIUM BRANDS","386318","$748.818","","activa"
"Premium Brands","PREMIUM BRANDS","388166","$357.187","","activa"
"Premium Brands","PREMIUM BRANDS","389198","$519.606","","activa"
"Khater","KHATER SHARIF","263","$123.760","$5.575.110","activa"
"Khater","KHATER SHARIF","269","$333.200","","activa"
"Khater","KHATER SHARIF","270","$1.547.000","","activa"
"Khater","KHATER SHARIF","273","$138.000","","activa"
"Khater","KHATER SHARIF","275","$616.420","","activa"
"Khater","KHATER SHARIF","280","$476.000","","activa"
"Khater","KHATER SHARIF","282","$489.090","","activa"
"Khater","KHATER SHARIF","285","$197.540","","activa"
"Khater","KHATER SHARIF","287","$333.200","","activa"
"Khater","KHATER SHARIF","290","$102.340","","activa"
"Khater","KHATER SHARIF","295","$680.680","","activa"
"Khater","KHATER SHARIF","303","$537.880","","activa"
"Logistica Costera SPA","LOGISTICA COSTERA","14470","$1.271.313","$5.652.249","activa"
"Logistica Costera SPA","LOGISTICA COSTERA","14541","$1.265.915","","activa"
"Logistica Costera SPA","LOGISTICA COSTERA","14609","$618.269","","activa"
"Logistica Costera SPA","LOGISTICA COSTERA","14617","$678.069","","activa"
"Logistica Costera SPA","LOGISTICA COSTERA","14680","$570.528","","activa"
"Logistica Costera SPA","LOGISTICA COSTERA","14936","$1.248.155","","activa"
